feature,permutation_importance_mean,permutation_importance_std,gain
category_encoded,0.026832,0.041574,1.964536190032959
revision_acceleration,0.016626,0.051633,1.7316159009933472
revision_slope,0.015356,0.031169,1.8478206396102905
sp500_return_pit,0.014037,0.016583,1.853702187538147
analyst_count_trend,0.007215,0.027156,1.4261234998703003
vix_mean_pit,0.005952,0.007764,1.5028693675994873
spread_trend,0.002742,0.047212,1.587714433670044
weeks_of_data,0.001801,0.016017,1.6739559173583984
direction_changes,0.001333,0.004412,1.3279935121536255
final_vs_initial,-0.006897,0.028601,1.510105013847351
