act_symbol,period_end_date,reported,estimate,category,prediction_cutoff,forecast_error,normalized_error,forecast_error_winsorized,normalized_error_winsorized,year,calendar_month,fiscal_quarter,beat,surprise_pct,sp500_return,sp500_return_z,vix_mean,vix_mean_z,sp500_return_pit,vix_mean_pit,revision_slope,revision_acceleration,direction_changes,final_vs_initial,spread_trend,analyst_count_trend,weeks_of_data,category_encoded,beat_proba,beat_pred
ABBV,2020-03-31,2.42,2.27,regulatory_idiosyncratic,2020-03-31,0.1499999999999999,0.06607929515418498,0.1499999999999999,0.06607929515418498,2020,3,1,1,6.607929515418498,-0.20001050382463903,-2.831605329260635,31.22451622255387,2.1990936175549183,-0.1624096177686819,27.38947373942325,0.010357142857142827,-0.011071428571428557,0.0,,0.013333333333333345,0.2261904761904762,8,4,0.8065296,1
ABBV,2020-06-30,2.34,2.24,regulatory_idiosyncratic,2020-06-30,0.09999999999999964,0.04464285714285698,0.09999999999999964,0.04464285714285698,2020,6,2,1,4.4642857142856975,0.19952871969448593,1.9662537503674815,34.49365086025662,2.779269476338467,0.11165964883274622,40.70038480025072,-0.009666666666666697,-0.0007142857142857414,2.0,-0.08000000000000007,0.04599999999999997,0.25,9,4,0.67621493,1
ABBV,2020-09-30,2.83,2.75,regulatory_idiosyncratic,2020-09-30,0.08000000000000007,0.029090909090909115,0.08000000000000007,0.029090909090909115,2020,9,3,1,2.9090909090909114,0.0847372205914454,0.5877822416514351,25.80890628695488,1.2379811234452305,0.04000088607341514,27.251153897016476,0.002666666666666669,-0.003333333333333336,0.0,0.040000000000000036,-0.013000000000000048,0.0,9,4,0.5331971,1
ABBV,2020-12-31,2.92,2.85,regulatory_idiosyncratic,2020-12-31,0.06999999999999984,0.024561403508771874,0.06999999999999984,0.024561403508771874,2020,12,4,1,2.4561403508771873,0.11688078155199966,0.9737775750953193,25.62171870470047,1.2047607980919792,0.09799470483704373,25.901666665688538,-0.0034999999999999845,0.0064285714285714024,1.0,-0.06000000000000005,-0.006833333333333335,0.15,9,4,0.41717938,0
ABT,2020-03-31,0.65,0.55,regulatory_idiosyncratic,2020-03-31,0.09999999999999998,0.18181818181818177,0.09999999999999998,0.18181818181818177,2020,3,1,1,18.181818181818176,-0.20001050382463903,-2.831605329260635,31.22451622255387,2.1990936175549183,-0.1624096177686819,27.38947373942325,-0.0005454545454545553,0.0006666666666666673,0.0,0.0,-0.0016363636363636378,0.12727272727272726,10,4,0.4139265,0
ABT,2020-06-30,0.57,0.43,regulatory_idiosyncratic,2020-06-30,0.13999999999999996,0.3255813953488371,0.13999999999999996,0.3255813953488371,2020,6,2,1,32.558139534883715,0.19952871969448593,1.9662537503674815,34.49365086025662,2.779269476338467,0.11165964883274622,40.70038480025072,4.037174635000569e-18,0.0010909090909090918,1.0,0.010000000000000009,-0.03636363636363636,0.045454545454545456,11,4,0.65690136,1
ABT,2020-09-30,0.98,0.9,regulatory_idiosyncratic,2020-09-30,0.07999999999999996,0.08888888888888884,0.07999999999999996,0.08888888888888884,2020,9,3,1,8.888888888888884,0.0847372205914454,0.5877822416514351,25.80890628695488,1.2379811234452305,0.04000088607341514,27.251153897016476,0.0036363636363636155,-0.004363636363636361,0.0,0.0,-0.007272727272727268,0.045454545454545456,11,4,0.3839644,0
ABT,2020-12-31,1.45,1.36,regulatory_idiosyncratic,2020-12-31,0.08999999999999986,0.06617647058823518,0.08999999999999986,0.06617647058823518,2020,12,4,1,6.617647058823518,0.11688078155199966,0.9737775750953193,25.62171870470047,1.2047607980919792,0.09799470483704373,25.901666665688538,2.153159805333637e-17,0.0,0.0,0.0,0.0,0.0,10,4,0.5227423,1
AEP,2020-03-31,1.02,1.09,defensive_baseline,2020-03-31,-0.07000000000000006,-0.06422018348623859,-0.07000000000000006,-0.06422018348623859,2020,3,1,0,-6.422018348623859,-0.20001050382463903,-2.831605329260635,31.22451622255387,2.1990936175549183,-0.1624096177686819,27.38947373942325,0.007428571428571474,0.0040000000000000036,1.0,,-0.012285714285714297,0.0,6,5,0.30966863,0
AEP,2020-06-30,1.08,1.06,defensive_baseline,2020-06-30,0.020000000000000018,0.018867924528301903,0.020000000000000018,0.018867924528301903,2020,6,2,1,1.8867924528301903,0.19952871969448593,1.9662537503674815,34.49365086025662,2.779269476338467,0.11165964883274622,40.70038480025072,0.0008333333333333367,0.0010714285714285723,0.0,,0.0,-0.08333333333333333,8,5,0.6628913,1
